codepoint,char,unicode_name,romanization
U+A295,ꊕ,Yi Syllable Zax,zax
U+A296,ꊖ,Yi Syllable Za,za
U+A297,ꊗ,Yi Syllable Zap,zap
U+A298,ꊘ,Yi Syllable Zuox,zuox
U+A299,ꊙ,Yi Syllable Zuo,zuo
U+A29A,ꊚ,Yi Syllable Zuop,zuop
U+A29B,ꊛ,Yi Syllable Zot,zot
U+A29C,ꊜ,Yi Syllable Zox,zox
U+A29D,ꊝ,Yi Syllable Zo,zo
U+A29E,ꊞ,Yi Syllable Zop,zop
U+A29F,ꊟ,Yi Syllable Zex,zex
U+A2A0,ꊠ,Yi Syllable Ze,ze
U+A2A1,ꊡ,Yi Syllable Zep,zep
U+A2A2,ꊢ,Yi Syllable Zut,zut
U+A2A3,ꊣ,Yi Syllable Zux,zux
U+A2A4,ꊤ,Yi Syllable Zu,zu
U+A2A5,ꊥ,Yi Syllable Zup,zup
U+A2A6,ꊦ,Yi Syllable Zurx,zurx
U+A2A7,ꊧ,Yi Syllable Zur,zur
U+A2A8,ꊨ,Yi Syllable Zyt,zyt
U+A2A9,ꊩ,Yi Syllable Zyx,zyx
U+A2AA,ꊪ,Yi Syllable Zy,zy
U+A2AB,ꊫ,Yi Syllable Zyp,zyp
U+A2AC,ꊬ,Yi Syllable Zyrx,zyrx
U+A2AD,ꊭ,Yi Syllable Zyr,zyr
U+A2AE,ꊮ,Yi Syllable Cit,cit
U+A2AF,ꊯ,Yi Syllable Cix,cix
U+A2B0,ꊰ,Yi Syllable Ci,ci
U+A2B1,ꊱ,Yi Syllable Cip,cip
U+A2B2,ꊲ,Yi Syllable Ciet,ciet
U+A2B3,ꊳ,Yi Syllable Ciex,ciex
U+A2B4,ꊴ,Yi Syllable Cie,cie
U+A2B5,ꊵ,Yi Syllable Ciep,ciep
U+A2B6,ꊶ,Yi Syllable Cat,cat
U+A2B7,ꊷ,Yi Syllable Cax,cax
U+A2B8,ꊸ,Yi Syllable Ca,ca
U+A2B9,ꊹ,Yi Syllable Cap,cap
U+A2BA,ꊺ,Yi Syllable Cuox,cuox
U+A2BB,ꊻ,Yi Syllable Cuo,cuo
U+A2BC,ꊼ,Yi Syllable Cuop,cuop
U+A2BD,ꊽ,Yi Syllable Cot,cot
U+A2BE,ꊾ,Yi Syllable Cox,cox
U+A2BF,ꊿ,Yi Syllable Co,co
U+A2C0,ꋀ,Yi Syllable Cop,cop
U+A2C1,ꋁ,Yi Syllable Cex,cex
U+A2C2,ꋂ,Yi Syllable Ce,ce
U+A2C3,ꋃ,Yi Syllable Cep,cep
U+A2C4,ꋄ,Yi Syllable Cut,cut
U+A2C5,ꋅ,Yi Syllable Cux,cux
U+A2C6,ꋆ,Yi Syllable Cu,cu
U+A2C7,ꋇ,Yi Syllable Cup,cup
U+A2C8,ꋈ,Yi Syllable Curx,curx
U+A2C9,ꋉ,Yi Syllable Cur,cur
U+A2CA,ꋊ,Yi Syllable Cyt,cyt
U+A2CB,ꋋ,Yi Syllable Cyx,cyx
U+A2CC,ꋌ,Yi Syllable Cy,cy
U+A2CD,ꋍ,Yi Syllable Cyp,cyp
U+A2CE,ꋎ,Yi Syllable Cyrx,cyrx
U+A2CF,ꋏ,Yi Syllable Cyr,cyr
U+A2D0,ꋐ,Yi Syllable Zzit,zzit
U+A2D1,ꋑ,Yi Syllable Zzix,zzix
U+A2D2,ꋒ,Yi Syllable Zzi,zzi
U+A2D3,ꋓ,Yi Syllable Zzip,zzip
U+A2D4,ꋔ,Yi Syllable Zziet,zziet
U+A2D5,ꋕ,Yi Syllable Zziex,zziex
U+A2D6,ꋖ,Yi Syllable Zzie,zzie
U+A2D7,ꋗ,Yi Syllable Zziep,zziep
U+A2D8,ꋘ,Yi Syllable Zzat,zzat
U+A2D9,ꋙ,Yi Syllable Zzax,zzax
U+A2DA,ꋚ,Yi Syllable Zza,zza
U+A2DB,ꋛ,Yi Syllable Zzap,zzap
U+A2DC,ꋜ,Yi Syllable Zzox,zzox
U+A2DD,ꋝ,Yi Syllable Zzo,zzo
U+A2DE,ꋞ,Yi Syllable Zzop,zzop
U+A2DF,ꋟ,Yi Syllable Zzex,zzex
U+A2E0,ꋠ,Yi Syllable Zze,zze
U+A2E1,ꋡ,Yi Syllable Zzep,zzep
U+A2E2,ꋢ,Yi Syllable Zzux,zzux
U+A2E3,ꋣ,Yi Syllable Zzu,zzu
U+A2E4,ꋤ,Yi Syllable Zzup,zzup
U+A2E5,ꋥ,Yi Syllable Zzurx,zzurx
U+A2E6,ꋦ,Yi Syllable Zzur,zzur
U+A2E7,ꋧ,Yi Syllable Zzyt,zzyt
U+A2E8,ꋨ,Yi Syllable Zzyx,zzyx
U+A2E9,ꋩ,Yi Syllable Zzy,zzy
U+A2EA,ꋪ,Yi Syllable Zzyp,zzyp
U+A2EB,ꋫ,Yi Syllable Zzyrx,zzyrx
U+A2EC,ꋬ,Yi Syllable Zzyr,zzyr
U+A2ED,ꋭ,Yi Syllable Nzit,nzit
U+A2EE,ꋮ,Yi Syllable Nzix,nzix
U+A2EF,ꋯ,Yi Syllable Nzi,nzi
U+A2F0,ꋰ,Yi Syllable Nzip,nzip
U+A2F1,ꋱ,Yi Syllable Nziex,nziex
U+A2F2,ꋲ,Yi Syllable Nzie,nzie
U+A2F3,ꋳ,Yi Syllable Nziep,nziep
U+A2F4,ꋴ,Yi Syllable Nzat,nzat
U+A2F5,ꋵ,Yi Syllable Nzax,nzax
U+A2F6,ꋶ,Yi Syllable Nza,nza
U+A2F7,ꋷ,Yi Syllable Nzap,nzap
U+A2F8,ꋸ,Yi Syllable Nzuox,nzuox
U+A2F9,ꋹ,Yi Syllable Nzuo,nzuo
U+A2FA,ꋺ,Yi Syllable Nzox,nzox
U+A2FB,ꋻ,Yi Syllable Nzop,nzop
U+A2FC,ꋼ,Yi Syllable Nzex,nzex
U+A2FD,ꋽ,Yi Syllable Nze,nze
U+A2FE,ꋾ,Yi Syllable Nzux,nzux
U+A2FF,ꋿ,Yi Syllable Nzu,nzu
U+A300,ꌀ,Yi Syllable Nzup,nzup
U+A301,ꌁ,Yi Syllable Nzurx,nzurx
U+A302,ꌂ,Yi Syllable Nzur,nzur
U+A303,ꌃ,Yi Syllable Nzyt,nzyt
U+A304,ꌄ,Yi Syllable Nzyx,nzyx
U+A305,ꌅ,Yi Syllable Nzy,nzy
U+A306,ꌆ,Yi Syllable Nzyp,nzyp
U+A307,ꌇ,Yi Syllable Nzyrx,nzyrx
U+A308,ꌈ,Yi Syllable Nzyr,nzyr
U+A309,ꌉ,Yi Syllable Sit,sit
U+A30A,ꌊ,Yi Syllable Six,six
U+A30B,ꌋ,Yi Syllable Si,si
U+A30C,ꌌ,Yi Syllable Sip,sip
U+A30D,ꌍ,Yi Syllable Siex,siex
U+A30E,ꌎ,Yi Syllable Sie,sie
U+A30F,ꌏ,Yi Syllable Siep,siep
U+A310,ꌐ,Yi Syllable Sat,sat
U+A311,ꌑ,Yi Syllable Sax,sax
U+A312,ꌒ,Yi Syllable Sa,sa
U+A313,ꌓ,Yi Syllable Sap,sap
U+A314,ꌔ,Yi Syllable Suox,suox
U+A315,ꌕ,Yi Syllable Suo,suo
U+A316,ꌖ,Yi Syllable Suop,suop
U+A317,ꌗ,Yi Syllable Sot,sot
U+A318,ꌘ,Yi Syllable Sox,sox
U+A319,ꌙ,Yi Syllable So,so
U+A31A,ꌚ,Yi Syllable Sop,sop
U+A31B,ꌛ,Yi Syllable Sex,sex
U+A31C,ꌜ,Yi Syllable Se,se
U+A31D,ꌝ,Yi Syllable Sep,sep
U+A31E,ꌞ,Yi Syllable Sut,sut
U+A31F,ꌟ,Yi Syllable Sux,sux
U+A320,ꌠ,Yi Syllable Su,su
U+A321,ꌡ,Yi Syllable Sup,sup
U+A322,ꌢ,Yi Syllable Surx,surx
U+A323,ꌣ,Yi Syllable Sur,sur
U+A324,ꌤ,Yi Syllable Syt,syt
U+A325,ꌥ,Yi Syllable Syx,syx
U+A326,ꌦ,Yi Syllable Sy,sy
U+A327,ꌧ,Yi Syllable Syp,syp
U+A328,ꌨ,Yi Syllable Syrx,syrx
U+A329,ꌩ,Yi Syllable Syr,syr
U+A32A,ꌪ,Yi Syllable Ssit,ssit
U+A32B,ꌫ,Yi Syllable Ssix,ssix
U+A32C,ꌬ,Yi Syllable Ssi,ssi
U+A32D,ꌭ,Yi Syllable Ssip,ssip
U+A32E,ꌮ,Yi Syllable Ssiex,ssiex
U+A32F,ꌯ,Yi Syllable Ssie,ssie
