codepoint,char,unicode_name,romanization
U+A3C8,ꏈ,Yi Syllable Ra,ra
U+A3C9,ꏉ,Yi Syllable Rap,rap
U+A3CA,ꏊ,Yi Syllable Ruox,ruox
U+A3CB,ꏋ,Yi Syllable Ruo,ruo
U+A3CC,ꏌ,Yi Syllable Ruop,ruop
U+A3CD,ꏍ,Yi Syllable Rot,rot
U+A3CE,ꏎ,Yi Syllable Rox,rox
U+A3CF,ꏏ,Yi Syllable Ro,ro
U+A3D0,ꏐ,Yi Syllable Rop,rop
U+A3D1,ꏑ,Yi Syllable Rex,rex
U+A3D2,ꏒ,Yi Syllable Re,re
U+A3D3,ꏓ,Yi Syllable Rep,rep
U+A3D4,ꏔ,Yi Syllable Rut,rut
U+A3D5,ꏕ,Yi Syllable Rux,rux
U+A3D6,ꏖ,Yi Syllable Ru,ru
U+A3D7,ꏗ,Yi Syllable Rup,rup
U+A3D8,ꏘ,Yi Syllable Rurx,rurx
U+A3D9,ꏙ,Yi Syllable Rur,rur
U+A3DA,ꏚ,Yi Syllable Ryt,ryt
U+A3DB,ꏛ,Yi Syllable Ryx,ryx
U+A3DC,ꏜ,Yi Syllable Ry,ry
U+A3DD,ꏝ,Yi Syllable Ryp,ryp
U+A3DE,ꏞ,Yi Syllable Ryrx,ryrx
U+A3DF,ꏟ,Yi Syllable Ryr,ryr
U+A3E0,ꏠ,Yi Syllable Jit,jit
U+A3E1,ꏡ,Yi Syllable Jix,jix
U+A3E2,ꏢ,Yi Syllable Ji,ji
U+A3E3,ꏣ,Yi Syllable Jip,jip
U+A3E4,ꏤ,Yi Syllable Jiet,jiet
U+A3E5,ꏥ,Yi Syllable Jiex,jiex
U+A3E6,ꏦ,Yi Syllable Jie,jie
U+A3E7,ꏧ,Yi Syllable Jiep,jiep
U+A3E8,ꏨ,Yi Syllable Juot,juot
U+A3E9,ꏩ,Yi Syllable Juox,juox
U+A3EA,ꏪ,Yi Syllable Juo,juo
U+A3EB,ꏫ,Yi Syllable Juop,juop
U+A3EC,ꏬ,Yi Syllable Jot,jot
U+A3ED,ꏭ,Yi Syllable Jox,jox
U+A3EE,ꏮ,Yi Syllable Jo,jo
U+A3EF,ꏯ,Yi Syllable Jop,jop
U+A3F0,ꏰ,Yi Syllable Jut,jut
U+A3F1,ꏱ,Yi Syllable Jux,jux
U+A3F2,ꏲ,Yi Syllable Ju,ju
U+A3F3,ꏳ,Yi Syllable Jup,jup
U+A3F4,ꏴ,Yi Syllable Jurx,jurx
U+A3F5,ꏵ,Yi Syllable Jur,jur
U+A3F6,ꏶ,Yi Syllable Jyt,jyt
U+A3F7,ꏷ,Yi Syllable Jyx,jyx
U+A3F8,ꏸ,Yi Syllable Jy,jy
U+A3F9,ꏹ,Yi Syllable Jyp,jyp
U+A3FA,ꏺ,Yi Syllable Jyrx,jyrx
U+A3FB,ꏻ,Yi Syllable Jyr,jyr
U+A3FC,ꏼ,Yi Syllable Qit,qit
U+A3FD,ꏽ,Yi Syllable Qix,qix
U+A3FE,ꏾ,Yi Syllable Qi,qi
U+A3FF,ꏿ,Yi Syllable Qip,qip
U+A400,ꐀ,Yi Syllable Qiet,qiet
U+A401,ꐁ,Yi Syllable Qiex,qiex
U+A402,ꐂ,Yi Syllable Qie,qie
U+A403,ꐃ,Yi Syllable Qiep,qiep
U+A404,ꐄ,Yi Syllable Quot,quot
U+A405,ꐅ,Yi Syllable Quox,quox
U+A406,ꐆ,Yi Syllable Quo,quo
U+A407,ꐇ,Yi Syllable Quop,quop
U+A408,ꐈ,Yi Syllable Qot,qot
U+A409,ꐉ,Yi Syllable Qox,qox
U+A40A,ꐊ,Yi Syllable Qo,qo
U+A40B,ꐋ,Yi Syllable Qop,qop
U+A40C,ꐌ,Yi Syllable Qut,qut
U+A40D,ꐍ,Yi Syllable Qux,qux
U+A40E,ꐎ,Yi Syllable Qu,qu
U+A40F,ꐏ,Yi Syllable Qup,qup
U+A410,ꐐ,Yi Syllable Qurx,qurx
U+A411,ꐑ,Yi Syllable Qur,qur
U+A412,ꐒ,Yi Syllable Qyt,qyt
U+A413,ꐓ,Yi Syllable Qyx,qyx
U+A414,ꐔ,Yi Syllable Qy,qy
U+A415,ꐕ,Yi Syllable Qyp,qyp
U+A416,ꐖ,Yi Syllable Qyrx,qyrx
U+A417,ꐗ,Yi Syllable Qyr,qyr
U+A418,ꐘ,Yi Syllable Jjit,jjit
U+A419,ꐙ,Yi Syllable Jjix,jjix
U+A41A,ꐚ,Yi Syllable Jji,jji
U+A41B,ꐛ,Yi Syllable Jjip,jjip
U+A41C,ꐜ,Yi Syllable Jjiet,jjiet
U+A41D,ꐝ,Yi Syllable Jjiex,jjiex
U+A41E,ꐞ,Yi Syllable Jjie,jjie
U+A41F,ꐟ,Yi Syllable Jjiep,jjiep
U+A420,ꐠ,Yi Syllable Jjuox,jjuox
U+A421,ꐡ,Yi Syllable Jjuo,jjuo
U+A422,ꐢ,Yi Syllable Jjuop,jjuop
U+A423,ꐣ,Yi Syllable Jjot,jjot
U+A424,ꐤ,Yi Syllable Jjox,jjox
U+A425,ꐥ,Yi Syllable Jjo,jjo
U+A426,ꐦ,Yi Syllable Jjop,jjop
U+A427,ꐧ,Yi Syllable Jjut,jjut
U+A428,ꐨ,Yi Syllable Jjux,jjux
U+A429,ꐩ,Yi Syllable Jju,jju
U+A42A,ꐪ,Yi Syllable Jjup,jjup
U+A42B,ꐫ,Yi Syllable Jjurx,jjurx
U+A42C,ꐬ,Yi Syllable Jjur,jjur
U+A42D,ꐭ,Yi Syllable Jjyt,jjyt
U+A42E,ꐮ,Yi Syllable Jjyx,jjyx
U+A42F,ꐯ,Yi Syllable Jjy,jjy
U+A430,ꐰ,Yi Syllable Jjyp,jjyp
U+A431,ꐱ,Yi Syllable Njit,njit
U+A432,ꐲ,Yi Syllable Njix,njix
U+A433,ꐳ,Yi Syllable Nji,nji
U+A434,ꐴ,Yi Syllable Njip,njip
U+A435,ꐵ,Yi Syllable Njiet,njiet
U+A436,ꐶ,Yi Syllable Njiex,njiex
U+A437,ꐷ,Yi Syllable Njie,njie
U+A438,ꐸ,Yi Syllable Njiep,njiep
U+A439,ꐹ,Yi Syllable Njuox,njuox
U+A43A,ꐺ,Yi Syllable Njuo,njuo
U+A43B,ꐻ,Yi Syllable Njot,njot
U+A43C,ꐼ,Yi Syllable Njox,njox
U+A43D,ꐽ,Yi Syllable Njo,njo
U+A43E,ꐾ,Yi Syllable Njop,njop
U+A43F,ꐿ,Yi Syllable Njux,njux
U+A440,ꑀ,Yi Syllable Nju,nju
U+A441,ꑁ,Yi Syllable Njup,njup
U+A442,ꑂ,Yi Syllable Njurx,njurx
U+A443,ꑃ,Yi Syllable Njur,njur
U+A444,ꑄ,Yi Syllable Njyt,njyt
U+A445,ꑅ,Yi Syllable Njyx,njyx
U+A446,ꑆ,Yi Syllable Njy,njy
U+A447,ꑇ,Yi Syllable Njyp,njyp
U+A448,ꑈ,Yi Syllable Njyrx,njyrx
U+A449,ꑉ,Yi Syllable Njyr,njyr
U+A44A,ꑊ,Yi Syllable Nyit,nyit
U+A44B,ꑋ,Yi Syllable Nyix,nyix
U+A44C,ꑌ,Yi Syllable Nyi,nyi
U+A44D,ꑍ,Yi Syllable Nyip,nyip
U+A44E,ꑎ,Yi Syllable Nyiet,nyiet
U+A44F,ꑏ,Yi Syllable Nyiex,nyiex
U+A450,ꑐ,Yi Syllable Nyie,nyie
U+A451,ꑑ,Yi Syllable Nyiep,nyiep
U+A452,ꑒ,Yi Syllable Nyuox,nyuox
U+A453,ꑓ,Yi Syllable Nyuo,nyuo
U+A454,ꑔ,Yi Syllable Nyuop,nyuop
U+A455,ꑕ,Yi Syllable Nyot,nyot
U+A456,ꑖ,Yi Syllable Nyox,nyox
U+A457,ꑗ,Yi Syllable Nyo,nyo
U+A458,ꑘ,Yi Syllable Nyop,nyop
U+A459,ꑙ,Yi Syllable Nyut,nyut
U+A45A,ꑚ,Yi Syllable Nyux,nyux
U+A45B,ꑛ,Yi Syllable Nyu,nyu
U+A45C,ꑜ,Yi Syllable Nyup,nyup
U+A45D,ꑝ,Yi Syllable Xit,xit
U+A45E,ꑞ,Yi Syllable Xix,xix
U+A45F,ꑟ,Yi Syllable Xi,xi
U+A460,ꑠ,Yi Syllable Xip,xip
U+A461,ꑡ,Yi Syllable Xiet,xiet
U+A462,ꑢ,Yi Syllable Xiex,xiex
U+A463,ꑣ,Yi Syllable Xie,xie
U+A464,ꑤ,Yi Syllable Xiep,xiep
U+A465,ꑥ,Yi Syllable Xuox,xuox
U+A466,ꑦ,Yi Syllable Xuo,xuo
U+A467,ꑧ,Yi Syllable Xot,xot
U+A468,ꑨ,Yi Syllable Xox,xox
U+A469,ꑩ,Yi Syllable Xo,xo
U+A46A,ꑪ,Yi Syllable Xop,xop
U+A46B,ꑫ,Yi Syllable Xyt,xyt
U+A46C,ꑬ,Yi Syllable Xyx,xyx
U+A46D,ꑭ,Yi Syllable Xy,xy
U+A46E,ꑮ,Yi Syllable Xyp,xyp
U+A46F,ꑯ,Yi Syllable Xyrx,xyrx
U+A470,ꑰ,Yi Syllable Xyr,xyr
U+A471,ꑱ,Yi Syllable Yit,yit
U+A472,ꑲ,Yi Syllable Yix,yix
